"canonical_title_key","representative_title","shelves","catalog_row_count","titles","uris","repository_trace","reading_status"
"a molecular approach tro","Map: A Molecular Approach (Tro)","General_Chemistry","1","Map: A Molecular Approach (Tro)","https://chem.libretexts.org/Bookshelves/General_Chemistry/Map%3A_A_Molecular_Approach_(Tro)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"advanced statistical mechanics tuckerman","Advanced Statistical Mechanics (Tuckerman)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Advanced Statistical Mechanics (Tuckerman)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Advanced_Statistical_Mechanics_(Tuckerman)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"advanced theoretical chemistry simons","Advanced Theoretical Chemistry (Simons)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","Advanced Theoretical Chemistry (Simons)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Advanced_Theoretical_Chemistry_(Simons)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"an introduction to mass spectrometry van bramer","An Introduction to Mass Spectrometry (Van Bramer)","Analytical_Chemistry","1","An Introduction to Mass Spectrometry (Van Bramer)","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/An_Introduction_to_Mass_Spectrometry_(Van_Bramer)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"an introduction to medicinal chemistry and molecular recognition de araujo et al","An Introduction to Medicinal Chemistry and Molecular Recognition (de Araujo et al.)","Biological_Chemistry","1","An Introduction to Medicinal Chemistry and Molecular Recognition (de Araujo et al.)","https://chem.libretexts.org/Bookshelves/Biological_Chemistry/An_Introduction_to_Medicinal_Chemistry_and_Molecular_Recognition_(de_Araujo_et_al.)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"an introduction to the electronic structure of atoms and molecules bader","An Introduction to the Electronic Structure of Atoms and Molecules (Bader)","Physical_and_Theoretical_Chemistry_Textbook_Maps","1","An Introduction to the Electronic Structure of Atoms and Molecules (Bader)","https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/An_Introduction_to_the_Electronic_Structure_of_Atoms_and_Molecules_(Bader)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"analytical chemistry 2 1 by david harvey","Analytical Chemistry 2.1 by David Harvey","Analytical_Chemistry","1","Analytical Chemistry 2.1 by David Harvey","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/Analytical_Chemistry_2.1_by_David_Harvey","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"basic principles of organic chemistry roberts and caserio","Basic Principles of Organic Chemistry (Roberts and Caserio)","Organic_Chemistry","1","Basic Principles of Organic Chemistry (Roberts and Caserio)","https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Basic_Principles_of_Organic_Chemistry_(Roberts_and_Caserio)","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"basics of thermal analysis shetty","Basics of Thermal Analysis (Shetty)","Analytical_Chemistry","1","Basics of Thermal Analysis (Shetty)","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/Basics_of_Thermal_Analysis_(Shetty)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"beginning chemistry ball","Beginning Chemistry (Ball)","Introductory_Chemistry","1","Beginning Chemistry (Ball)","https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Beginning_Chemistry_(Ball)","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
